total_cases,total_deaths,people_fully_vaccinated,reproduction_rate
42463.0,1577.0,0.0,1.22
42609.0,1581.0,0.0,1.23
42795.0,1591.0,0.0,1.23
42969.0,1595.0,0.0,1.23
43035.0,1605.0,0.0,1.22
43240.0,1617.0,0.0,1.22
43403.0,1626.0,0.0,1.22
43628.0,1638.0,0.0,1.22
43851.0,1645.0,0.0,1.21
44228.0,1650.0,0.0,1.21
44443.0,1661.0,0.0,1.19
44503.0,1675.0,0.0,1.18
44706.0,1687.0,0.0,1.17
44988.0,1695.0,0.0,1.16
45278.0,1712.0,0.0,1.15
45490.0,1725.0,0.0,1.14
45716.0,1737.0,0.0,1.13
45839.0,1740.0,0.0,1.12
45966.0,1752.0,0.0,1.11
46215.0,1763.0,0.0,1.1
46498.0,1774.0,0.0,1.1
46717.0,1795.0,0.0,1.09
46980.0,1822.0,0.0,1.08
47258.0,1841.0,0.0,1.07
47388.0,1847.0,0.0,1.06
47641.0,1865.0,0.0,1.05
47901.0,1875.0,0.0,1.04
48136.0,1902.0,0.0,1.03
48366.0,1908.0,0.0,1.02
48540.0,1921.0,0.0,1.01
48753.0,1939.0,0.0,1.01
48826.0,1949.0,0.0,1.0
48952.0,1960.0,0.0,1.0
49273.0,1971.0,0.0,0.99
49484.0,1975.0,0.0,0.99
49703.0,2001.0,0.0,0.98
49927.0,2017.0,0.0,0.97
50202.0,2032.0,0.0,0.97
50456.0,2037.0,0.0,0.96
50536.0,2054.0,0.0,0.95
50678.0,2074.0,0.0,0.94
50888.0,2089.0,0.0,0.93
51070.0,2105.0,0.0,0.93
51357.0,2126.0,0.0,0.92
51595.0,2135.0,0.0,0.91
51764.0,2148.0,0.0,0.9
51848.0,2158.0,0.0,0.89
52007.0,2170.0,0.0,0.88
52147.0,2182.0,0.0,0.87
52330.0,2189.0,0.0,0.86
52330.0,2189.0,0.0,0.85
52513.0,2201.0,0.0,0.85
52586.0,2211.0,0.0,0.85
52709.0,2221.0,0.0,0.85
52909.0,2230.0,0.0,0.84
53011.0,2237.0,0.0,0.84
53105.0,2244.0,0.0,0.83
53207.0,2253.0,0.0,0.83
53332.0,2257.0,0.0,0.82
53400.0,2264.0,0.0,0.82
53489.0,2277.0,0.0,0.82
53538.0,2288.0,0.0,0.82
53584.0,2301.0,0.0,0.82
53690.0,2308.0,0.0,0.82
53775.0,2314.0,0.0,0.82
53831.0,2324.0,0.0,0.82
53938.0,2336.0,0.0,0.83
53984.0,2339.0,0.0,0.83
54062.0,2343.0,0.0,0.83
54141.0,2346.0,0.0,0.83
54278.0,2354.0,0.0,0.83
54403.0,2363.0,0.0,0.83
54483.0,2370.0,0.0,0.82
54559.0,2373.0,0.0,0.82
54595.0,2378.0,0.0,0.81
54672.0,2385.0,0.0,0.81
54750.0,2389.0,0.0,0.8
54854.0,2389.0,0.0,0.8
54891.0,2397.0,0.0,0.79
54939.0,2399.0,0.0,0.78
55008.0,2400.0,0.0,0.78
55023.0,2400.0,0.0,0.77
55059.0,2404.0,0.0,0.77
55121.0,2405.0,0.0,0.77
55174.0,2406.0,0.0,0.76
55231.0,2407.0,0.0,0.76
55265.0,2407.0,0.0,0.76
55330.0,2408.0,0.0,0.75
55335.0,2410.0,0.0,0.75
55359.0,2413.0,0.0,0.75
55384.0,2414.0,0.0,0.74
55402.0,2418.0,0.0,0.74
55420.0,2419.0,0.0,0.75
55445.0,2424.0,0.0,0.75
55473.0,2427.0,0.0,0.76
55492.0,2427.0,0.0,0.76
55514.0,2427.0,0.0,0.77
55518.0,2428.0,0.0,0.77
55540.0,2428.0,0.0,0.78
55557.0,2430.0,0.0,0.79
55575.0,2430.0,0.0,0.81
55580.0,2430.0,0.0,0.82
55604.0,2432.0,0.0,0.83
55617.0,2433.0,0.0,0.85
55646.0,2435.0,0.0,0.86
55664.0,2436.0,0.0,0.87
55680.0,2438.0,0.0,0.88
55696.0,2442.0,0.0,0.89
55707.0,2443.0,0.0,0.91
55714.0,2443.0,0.0,0.92
55733.0,2444.0,0.0,0.94
55759.0,2446.0,0.0,0.96
55770.0,2446.0,0.0,0.97
55775.0,2446.0,0.0,0.99
55827.0,2449.0,0.0,1.01
55840.0,2449.0,0.0,1.01
55847.0,2449.0,0.0,1.02
55876.0,2451.0,0.0,1.03
55876.0,2451.0,0.0,1.04
55894.0,2451.0,0.0,1.05
55917.0,2451.0,0.0,1.07
55959.0,2454.0,0.0,1.08
55959.0,2454.0,0.0,1.09
55985.0,2457.0,0.0,1.1
55985.0,2459.0,0.0,1.11
55995.0,2460.0,0.0,1.13
56016.0,2460.0,0.0,1.15
56044.0,2462.0,0.0,1.16
56069.0,2462.0,0.0,1.18
56093.0,2462.0,0.0,1.2
56103.0,2463.0,0.0,1.21
56153.0,2464.0,0.0,1.23
56177.0,2466.0,0.0,1.23
56192.0,2466.0,0.0,1.24
56226.0,2467.0,0.0,1.26
56254.0,2467.0,0.0,1.27
56290.0,2469.0,0.0,1.28
56294.0,2470.0,0.0,1.3
56322.0,2472.0,0.0,1.31
56384.0,2476.0,0.0,1.33
56454.0,2484.0,0.0,1.34
56517.0,2489.0,0.0,1.34
56572.0,2495.0,0.0,1.34
56595.0,2496.0,0.0,1.34
56676.0,2497.0,0.0,1.35
56717.0,2508.0,0.0,1.35
56779.0,2512.0,0.0,1.35
56873.0,2512.0,0.0,1.35
56943.0,2516.0,0.0,1.35
57019.0,2521.0,0.0,1.35
57144.0,2521.0,0.0,1.35
57160.0,2521.0,0.0,1.34
57242.0,2529.0,0.0,1.34
57364.0,2529.0,0.0,1.34
57492.0,2532.0,0.0,1.34
57534.0,2533.0,0.0,1.33
57612.0,2535.0,0.0,1.34
57721.0,2539.0,0.0,1.34
57793.0,2539.0,0.0,1.34
57898.0,2546.0,0.0,1.34
58037.0,2549.0,0.0,1.35
58214.0,2557.0,0.0,1.35
58312.0,2561.0,0.0,1.35
58542.0,2565.0,0.0,1.35
58730.0,2572.0,0.0,1.34
58843.0,2582.0,0.0,1.34
59015.0,2592.0,0.0,1.33
59225.0,2598.0,0.0,1.33
59370.0,2611.0,0.0,1.32
59576.0,2618.0,0.0,1.32
59745.0,2625.0,0.0,1.31
59939.0,2631.0,0.0,1.31
60122.0,2637.0,0.0,1.31
60300.0,2642.0,0.0,1.31
60563.0,2648.0,0.0,1.3
60797.0,2654.0,0.0,1.3
61162.0,2664.0,0.0,1.3
61455.0,2673.0,0.0,1.29
61755.0,2683.0,0.0,1.29
61842.0,2686.0,0.0,1.28
62063.0,2698.0,0.0,1.28
62403.0,2710.0,55624.0,1.28
62718.0,2713.0,58061.333333333336,1.28
63045.0,2721.0,60498.666666666664,1.28
63355.0,2730.0,62936.0,1.28
63412.0,2733.0,65373.333333333336,1.28
63484.0,2742.0,67810.66666666667,1.28
63598.0,2745.0,70248.0,1.3
63819.0,2751.0,72685.33333333334,1.31
64122.0,2762.0,75122.66666666667,1.33
64575.0,2772.0,77560.0,1.35
65080.0,2782.0,82397.5,1.36
65486.0,2792.0,87235.0,1.37
65728.0,2802.0,92072.5,1.38
66275.0,2812.0,96910.0,1.39
66903.0,2836.0,103996.0,1.39
67743.0,2855.0,111082.0,1.4
68366.0,2869.0,113739.0,1.4
69130.0,2881.0,115801.33333333333,1.4
70111.0,2899.0,117863.66666666667,1.4
70761.0,2919.0,119926.0,1.4
71838.0,2944.0,128150.66666666667,1.39
72977.0,2973.0,136375.33333333334,1.38
74026.0,3007.0,144600.0,1.37
75119.0,3034.0,148505.0,1.36
76628.0,3068.0,150472.6,1.36
77963.0,3104.0,152440.2,1.35
79224.0,3145.0,154407.8,1.33
80841.0,3187.0,156375.4,1.32
82326.0,3251.0,158343.0,1.3
84050.0,3305.0,161496.83333333334,1.29
85892.0,3356.0,164650.66666666666,1.27
87716.0,3412.0,167804.5,1.26
88740.0,3449.0,170958.33333333334,1.24
89861.0,3527.0,174112.16666666666,1.23
91458.0,3612.0,177266.0,1.21
93272.0,3683.0,178078.0,1.2
93288.0,3683.0,178890.0,1.19
96531.0,3842.0,179702.0,1.18
98734.0,3934.0,180514.0,1.17
100521.0,4030.0,181326.0,1.15
101906.0,4122.0,182138.0,1.14
103902.0,4215.0,182950.0,1.12
105749.0,4293.0,183762.0,1.1
107957.0,4366.0,184261.6,1.09
109532.0,4452.0,184761.2,1.07
111592.0,4519.0,185260.8,1.06
113124.0,4594.0,185760.4,1.04
114220.0,4650.0,186260.0,1.03
115751.0,4730.0,186724.66666666666,1.01
117158.0,4794.0,187189.33333333334,1.0
118659.0,4871.0,187654.0,0.99
120216.0,4962.0,187987.6,0.97
122156.0,5048.0,188321.2,0.96
123485.0,5107.0,188654.8,0.95
124748.0,5199.0,188988.4,0.94
125937.0,5283.0,189322.0,0.93
127464.0,5360.0,194286.0,0.92
129021.0,5415.0,199250.0,0.9
130113.0,5477.0,204227.25,0.89
131586.0,5561.0,209204.5,0.88
132777.0,5638.0,214181.75,0.87
133578.0,5724.0,219159.0,0.86
134653.0,5791.0,224448.625,0.85
135889.0,5849.0,229738.25,0.84
136643.0,5923.0,235027.875,0.83
137853.0,5983.0,240317.5,0.82
139051.0,6072.0,245607.125,0.81
140224.0,6098.0,250896.75,0.8
140602.0,6147.0,256186.375,0.79
141499.0,6213.0,261476.0,0.78
142414.0,6266.0,266765.625,0.76
142762.0,6293.0,272055.25,0.75
143183.0,6325.0,277344.875,0.75
143439.0,6357.0,282634.5,0.74
143666.0,6393.0,287924.125,0.74
143871.0,6425.0,293213.75,0.74
144285.0,6477.0,298503.375,0.74
145008.0,6515.0,303793.0,0.74
145552.0,6577.0,309082.625,0.74
145996.0,6615.0,314372.25,0.74
146523.0,6677.0,319661.875,0.74
147154.0,6708.0,324951.5,0.74
147501.0,6737.0,330241.125,0.74
147985.0,6774.0,335530.75,0.73
148572.0,6804.0,340820.375,0.73
148933.0,6836.0,346110.0,0.72
149361.0,6864.0,351399.625,0.71
149810.0,6879.0,356689.25,0.71
150240.0,6897.0,361978.875,0.7
150458.0,6908.0,367268.5,0.69
150778.0,6936.0,372558.125,0.68
151013.0,6961.0,377847.75,0.67
151291.0,6978.0,383137.375,0.67
151563.0,6988.0,388427.0,0.66
151770.0,7000.0,393716.625,0.65
151941.0,7010.0,399006.25,0.65
152033.0,7021.0,404295.875,0.64
152142.0,7025.0,409585.5,0.63
152243.0,7031.0,414875.125,0.63
152363.0,7043.0,420164.75,0.63
152411.0,7047.0,425454.375,0.63
152448.0,7054.0,430744.0,0.63
152497.0,7065.0,462812.1976744186,0.64
152511.0,7070.0,494880.3953488372,0.65
152583.0,7076.0,526948.5930232558,0.66
152660.0,7083.0,559016.7906976744,0.67
152722.0,7090.0,591084.9883720931,0.68
152822.0,7093.0,623153.1860465116,0.69
152960.0,7101.0,655221.3837209302,0.71
153007.0,7103.0,687289.5813953488,0.72
153033.0,7109.0,719357.7790697674,0.73
153148.0,7116.0,751425.976744186,0.74
153220.0,7118.0,783494.1744186047,0.75
153260.0,7123.0,815562.3720930233,0.76
153306.0,7127.0,847630.5697674418,0.77
153375.0,7127.0,879698.7674418604,0.79
153395.0,7128.0,911766.965116279,0.8
153423.0,7132.0,943835.1627906977,0.82
